id;start_date;end_date;language
1;2022-03-30T21:07:00;2022-03-30T18:57:15;ENGLISH
2;2022-03-30T06:34:35;2022-03-30T16:00:04;FRENCH
3;2022-03-30T16:30:47;2022-03-30T04:35:55;SPANISH
4;2022-03-30T21:01:36;2022-03-30T02:27:55;FRENCH
5;2022-03-30T23:17:59;2022-03-30T07:36:57;ENGLISH
6;2022-03-30T08:48:42;2022-03-30T22:49:02;SPANISH
7;2022-03-30T16:52:30;2022-03-30T03:26:39;FRENCH
8;2022-03-30T07:18:23;2022-03-30T03:54:12;FRENCH
9;2022-03-30T08:10:01;2022-03-30T19:41:27;FRENCH
10;2022-03-30T04:06:59;2022-03-30T21:04:28;FRENCH
